date,split,product,model,active_donors,active_recipients,supply_units,demand_units,allocated_units,service_level,recipient_coverage,fill_gini,unit_miles,holding_days,shipments,operational_score,mean_iterations,convergence_gap,contraction_bound,panel_ambiguity
2020-07-10 00:00:00+00:00,test,respirators,ACM-4 (coupled),3,4791,65.0,5910326.0,65.0,0.006095677312520674,0.01168858275934043,0.9959526711409252,15.507807692307692,2.511090633903134,3,0.2011630205414502,3.0,6.257712962032258e-06,0.3532410354887874,0.286324443682052
2020-07-10 00:00:00+00:00,test,surgicalMasks,ACM-4 (coupled),6,3379,2730.0,5584876.0,2730.0,0.007900333380845762,0.011242603550295858,0.9953017319693698,31.9773663003663,1.6547475749559084,6,0.2026915963420573,3.0,9.247792924771403e-06,0.3532410354887873,0.2795178609176374
2020-07-10 00:00:00+00:00,test,faceShields,ACM-4 (coupled),3,3419,95.0,2531082.0,95.0,0.014950566299304779,0.01956204379562044,0.9924139218623866,5.1795,4.622482334307992,3,0.20376363755733784,3.0,9.775279378787527e-06,0.3532410354887873,0.27767737499552325
2020-07-17 00:00:00+00:00,test,respirators,ACM-4 (coupled),2,4887,15.0,5926504.0,15.0,0.006081587830585608,0.011868221812973194,0.9960249695845342,11.123833333333334,5.719552469135802,2,0.1959872353840373,3.0,6.991352298535425e-06,0.3532410354887873,0.2753651007062082
2020-07-17 00:00:00+00:00,test,surgicalMasks,ACM-4 (coupled),1,3454,20.0,5607950.0,20.0,0.007867805580707104,0.011287988422575976,0.9954030080269425,122.02849999999998,6.857303240740741,1,0.19099867205226845,3.0,1.2975759906330708e-05,0.3532410354887873,0.2400993496368666
2020-07-17 00:00:00+00:00,test,faceShields,ACM-4 (coupled),3,3489,1202.0,2541115.0,1202.0,0.015357842458836478,0.020028612303290415,0.9922369924380241,5.527679700499169,5.9155838070807905,3,0.20189143711365926,3.0,1.0907551006633653e-05,0.3532410354887874,0.2657980401944221
2020-07-24 00:00:00+00:00,test,respirators,ACM-4 (coupled),1,4893,500.0,5926685.0,500.0,0.00616523907302227,0.012058042100960556,0.9958977928138795,5.1795,6.0881944444444445,1,0.19567314489728133,3.0,1.2350055096088663e-05,0.3532410354887873,0.20194062760464104
2020-07-24 00:00:00+00:00,test,faceShields,ACM-4 (coupled),1,3490,500.0,2539933.0,500.0,0.015551555717685534,0.02030892448512586,0.9921260036093713,5.1795,6.0881944444444445,1,0.2017754341598564,3.0,1.6271709172177573e-05,0.35324103548878744,0.20717039435145518
2020-04-03 00:00:00+00:00,calibration,respirators,ACM-4 (independent),1,24,20.0,48769.0,20.0,0.00041009657774405874,0.041666666666666664,0.9583333333333333,1237.3895,6.509027777777777,1,0.16679883750591412,6.0,3.331187040908623e-05,0.31374903716840097,0.31480155527035386
2020-04-24 00:00:00+00:00,calibration,respirators,ACM-4 (independent),204,2438,21774.0,5187810.0,21774.0,0.0042009857686161655,0.007793273174733388,0.9974076168739505,151.20391880224125,4.661184150460625,204,0.19112836906039982,4.0,4.146708437735569e-06,0.3322496720046854,0.3275307927151882
2020-04-24 00:00:00+00:00,calibration,surgicalMasks,ACM-4 (independent),112,1494,19401.0,4607787.0,19333.0,0.004195723456835136,0.00535475234270415,0.9973746839640911,166.29697219779658,4.022438930939422,112,0.19108495721125787,4.0,5.667832425670927e-06,0.3320871783665452,0.33220230218266095
2020-04-24 00:00:00+00:00,calibration,faceShields,ACM-4 (independent),115,2028,17787.0,2286152.0,17749.0,0.007763700751306125,0.005917159763313609,0.997080699422584,276.0115414107837,4.415694458138486,115,0.1882205698420118,4.0,4.859828616587958e-06,0.3321766222231757,0.3268086699300167
2020-04-24 00:00:00+00:00,calibration,gowns,ACM-4 (independent),23,2069,3010.0,6474451.0,3010.0,0.00046490428300407247,0.007249879168680522,0.9972912670436842,150.9284514950166,4.812638427464009,23,0.18946492045354413,4.0,5.246583724527465e-06,0.33131100367475125,0.3206676284679206
2020-05-01 00:00:00+00:00,calibration,respirators,ACM-4 (independent),42,2952,4860.0,5393563.0,4860.0,0.00492192850812975,0.01016260162601626,0.9967036530372446,69.93326728395061,3.5217272328913274,42,0.19672194047928335,4.0,1.0692033096670883e-06,0.3317796217521351,0.3175293635465093
2020-05-01 00:00:00+00:00,calibration,surgicalMasks,ACM-4 (independent),46,1926,9239.0,4808549.0,9239.0,0.005918123102428767,0.007265179034769071,0.996509583713425,246.31050037882898,4.014628191482965,46,0.18968432410342478,4.0,1.6425323085544896e-06,0.33151493309584795,0.32070507147189437
2020-05-01 00:00:00+00:00,calibration,faceShields,ACM-4 (independent),31,2448,8157.0,2437048.0,7341.0,0.010220804408674119,0.010208248264597795,0.9949148445804605,98.84771774962542,3.441644696264512,31,0.1981153762743316,4.0,1.2566678074810156e-06,0.33153432333236205,0.315698307932008
2020-05-01 00:00:00+00:00,calibration,gowns,ACM-4 (independent),5,2496,634.0,6857623.0,634.0,0.0005311463242531702,0.008012820512820512,0.9973914969837665,99.4275212933754,2.1920009091307393,5,0.19574322138661004,4.0,1.5259899553976553e-06,0.32919332814059504,0.30155599571910113
2020-05-08 00:00:00+00:00,calibration,respirators,ACM-4 (independent),13,3086,2546.0,5407386.0,2546.0,0.005373534239718515,0.011989630589760207,0.9958969084420546,94.11205263157896,4.793026747657909,13,0.1945733166091148,3.0,8.554975097668782e-05,0.33020424518988845,0.2973946999121228
2020-05-08 00:00:00+00:00,calibration,surgicalMasks,ACM-4 (independent),26,2026,3475.0,4873840.0,3475.0,0.006536986283486578,0.009373458312777503,0.9959377308112158,401.2766529496403,3.1088995803357307,26,0.18688637588295728,3.0,9.563874558604635e-05,0.33152377502872415,0.3095892161179941
2020-05-08 00:00:00+00:00,calibration,faceShields,ACM-4 (independent),14,2535,1901.0,2436254.0,1901.0,0.010965960060844807,0.013002364066193853,0.9943947983512935,44.877722251446606,5.85206346075165,14,0.1969603541912845,3.0,7.96803941300328e-05,0.3310713633882447,0.30279831644669647
2020-05-08 00:00:00+00:00,calibration,gowns,ACM-4 (independent),2,2616,301.0,6986608.0,301.0,0.0005643573364737066,0.008409785932721712,0.9972736202001995,5.567702657807308,5.654522694413682,2,0.1932354529316233,4.0,4.69750762860377e-06,0.30921387165005904,0.23202166464044527
2020-05-15 00:00:00+00:00,calibration,respirators,ACM-4 (independent),16,3181,963.0,5467070.0,963.0,0.0054879036146331965,0.012889028607356178,0.9957840433577538,179.04802959501555,2.517827355197877,16,0.19582156816691293,3.0,5.365128401668695e-05,0.33096065414719444,0.295278908669862
2020-05-15 00:00:00+00:00,calibration,surgicalMasks,ACM-4 (independent),11,2086,2640.0,4894908.0,2640.0,0.007040251027257201,0.010062290368950648,0.9956897204880084,371.8856761363636,1.3604402093855221,11,0.1911781268006547,3.0,7.761185222265876e-05,0.3299562988510385,0.29067728741896753
2020-05-15 00:00:00+00:00,calibration,faceShields,ACM-4 (independent),17,2593,5370.0,2442782.0,5210.0,0.013038040338120144,0.016178736517719568,0.9927797858423766,75.95944337811902,2.630087483116514,17,0.2031365804948318,3.0,5.1273628041803576e-05,0.33141309492094584,0.29873629760905546
2020-05-22 00:00:00+00:00,calibration,respirators,ACM-4 (independent),2,3247,1200.0,5471505.0,1200.0,0.005700634789303899,0.01324299353249153,0.9955515341453531,86.36183333333334,0.5936226851851852,2,0.20232756481055553,3.0,5.409421950908211e-05,0.32690013862909884,0.2689026286158171
2020-05-22 00:00:00+00:00,calibration,surgicalMasks,ACM-4 (independent),5,2131,2590.0,4907743.0,2590.0,0.007542241367100798,0.010787992495309569,0.9951185890549046,166.50655598455597,1.3746719934219935,5,0.19847172626947657,3.0,6.25398024309276e-05,0.3274950713418614,0.2723415959857582
2020-05-22 00:00:00+00:00,calibration,faceShields,ACM-4 (independent),7,2636,1659.0,2439878.0,1659.0,0.01369697327633947,0.017796289284361985,0.9921620670303659,43.617712477396026,2.1594376144151983,7,0.20575761312179758,3.0,4.368540238292029e-05,0.3298152142484516,0.2848711711098983
