product,timestamp,month,split,model,n_events,allocation_overlap,priority_overlap,js_distance,priority_js_distance,ndcg_all,recipient_average_precision,recipient_recall_at_observed_k,dispatch_fraction,panel_ambiguity,n_candidates,n_observed_recipients,observed_quantity
surgical_mask,2020-04-01,2020-04-01,calibration,ACM-3,12,0.0,0.019865986505947196,0.9999999999999999,0.9723202590398018,0.19290424144112484,0.019839447014149414,0.04,1.0,0.35197793298544156,1691,25,15680.0
surgical_mask,2020-05-01,2020-05-01,calibration,ACM-3,4,0.0,0.003012558895995169,0.9999999999999999,0.9931522861313261,0.13598898428512032,0.003500770296759877,0.0,1.0,0.35013443558957125,1916,6,2120.0
surgical_mask,2020-06-01,2020-06-01,calibration,ACM-3,20,0.0,0.012881415405162182,1.0,0.9838491691432485,0.13787104450819246,0.012579098279758226,0.0,1.0,0.329600077545918,2053,29,36740.0
surgical_mask,2020-07-01,2020-07-01,validation,ACM-3,4,0.0,0.0024234335109139995,1.0,0.994268540843489,0.13402602852223214,0.0026182806617875616,0.0,1.0,0.315565944731044,2038,6,2465.0
surgical_mask,2020-08-01,2020-08-01,validation,ACM-3,1,0.0,0.0006689147442391559,1.0,0.9979930701132257,0.11337638434109218,0.0022172949002217295,0.0,1.0,0.2153704939683329,513,1,50.0
surgical_mask,2020-10-01,2020-10-01,validation,ACM-3,1,0.0,0.01133377394836616,1.0,0.977318715884423,0.18665241123894338,0.025,0.0,1.0,0.2520309734957411,65,1,500.0
surgical_mask,2020-12-01,2020-12-01,validation,ACM-3,2,0.0,0.04258400878955287,0.9999999999999999,0.9346805113764725,0.32940913481585826,0.09523809523809523,0.0,1.0,0.18724631804456948,44,2,7000.0
surgical_mask,2021-02-01,2021-02-01,test,ACM-3,2,0.1,0.037147429172293814,0.8749298275892526,0.951739051966778,0.28549787447588415,0.3055555555555556,0.5,1.0,0.20150292106347692,113,2,5000.0
surgical_mask,2021-03-01,2021-03-01,test,ACM-3,9,0.045934772622875514,0.06405496972184518,0.9472951960124909,0.923824302625328,0.3076500289186086,0.18674184434972568,0.1111111111111111,1.0,0.20843509004614152,170,9,43540.0
surgical_mask,2021-05-01,2021-05-01,test,ACM-3,2,0.0,0.016751642236027528,1.0,0.9689829857976731,0.24671999491697322,0.04375,0.0,1.0,0.2405061941620752,148,2,6000.0
surgical_mask,2021-06-01,2021-06-01,test,ACM-3,4,0.0,0.03315836847092782,1.0,0.9471277050594029,0.23527639449581064,0.037016702213442165,0.0,1.0,0.17747729633164122,98,4,13000.0
surgical_mask,2021-07-01,2021-07-01,test,ACM-3,2,0.0,0.03730161029036248,1.0,0.9480229229661138,0.3154163349391989,0.26785714285714285,0.5,1.0,0.1976448672898916,79,2,4000.0
face_shield,2020-04-01,2020-04-01,calibration,ACM-3,2,0.0,0.0015294953131512645,1.0,0.9958880655228219,0.12967606597823123,0.0029099886676380122,0.0,1.0,0.4172979644956005,1467,2,490.0
face_shield,2020-05-01,2020-05-01,calibration,ACM-3,12,0.00838902317645386,0.025605715023518463,0.9917866910373077,0.9611230658311845,0.24901207407188383,0.025199329807230105,0.0,1.0,0.35877186974813524,1993,54,70330.0
face_shield,2020-06-01,2020-06-01,calibration,ACM-3,38,0.0,0.026566413134392272,1.0,0.9653820351311957,0.2544188458971772,0.023482666986319886,0.0,1.0,0.3182228173410724,2073,86,61675.0
face_shield,2020-07-01,2020-07-01,validation,ACM-3,9,0.0,0.004692705509507447,1.0,0.9905423780859541,0.15018779865386928,0.004801873891948001,0.0,1.0,0.3257111159506974,2104,14,610.0
face_shield,2020-09-01,2020-09-01,validation,ACM-3,3,0.0,0.007261799992002124,1.0,0.9871752780508958,0.14043052762773411,0.009225210814615142,0.0,1.0,0.3065910180563436,344,3,1320.0
face_shield,2021-03-01,2021-03-01,test,ACM-3,2,0.0,0.020949324383550655,1.0,0.9636151556846954,0.2002631923733371,0.032744282744282746,0.0,1.0,0.19456102842966677,95,2,350.0
face_shield,2021-04-01,2021-04-01,test,ACM-3,5,0.0,0.05022132399377669,0.9999999999999999,0.9268657828410644,0.33410286002994777,0.11245635843723203,0.0,1.0,0.1990068202503935,123,5,1100.0
gown,2020-05-01,2020-05-01,calibration,ACM-3,7,0.0,0.005778709236716475,1.0,0.9890085867437177,0.14748831966073794,0.0070911963802248925,0.0,1.0,0.38804393431103024,1966,12,8450.0
gown,2020-06-01,2020-06-01,calibration,ACM-3,3,0.0,0.0004575840830361999,0.9999999999999999,0.9986490461148665,0.10525211682660678,0.0012691655465061353,0.0,1.0,0.3057535526058336,1972,4,350.0
gown,2020-08-01,2020-08-01,validation,ACM-3,1,0.0,0.0011356205432728858,1.0,0.9968078378538145,0.12188327487426638,0.003401360544217687,0.0,1.0,0.294160528204104,338,1,200.0
gown,2020-11-01,2020-11-01,validation,ACM-3,3,0.5485436893203883,0.11794037298702097,0.5789079735741489,0.8576882525785626,0.43383340305865137,0.38095238095238093,0.3333333333333333,1.0,0.2526562918410385,21,3,10300.0
gown,2021-01-01,2021-01-01,test,ACM-3,11,0.0,0.11480023068900946,0.9999999999999999,0.8698796054157376,0.3521295306112938,0.15944461369680393,0.0,1.0,0.23794810155165153,100,11,30840.0
gown,2021-02-01,2021-02-01,test,ACM-3,6,0.0,0.03480285403153695,1.0,0.9466733926612024,0.2532426119962112,0.045297800808397654,0.0,1.0,0.19137450675388298,106,6,598.0
gown,2021-03-01,2021-03-01,test,ACM-3,3,0.0,0.010021325540273619,1.0,0.9800309923112422,0.17785388917345832,0.017832241504807878,0.0,1.0,0.16797354294320052,130,3,814.0
gown,2021-04-01,2021-04-01,test,ACM-3,5,0.0,0.03324039741889429,1.0,0.9524121380491642,0.2280335073980614,0.046590909090909086,0.0,1.0,0.1762461703661981,157,5,2330.0
