product,timestamp,split,model,iterations,convergence_gap,active_nodes,operator_scale,operator_norm,contraction_bound
face_shield,2020-05-01 00:00:00+00:00,calibration,ACM-4 (independent),3,4.782850994244914e-05,1913,0.08340528546137158,1.26373449172473,0.3415258778740477
face_shield,2020-05-03 00:00:00+00:00,calibration,ACM-4 (independent),3,5.149627310657712e-05,1953,0.08261163937081271,1.2630895437149647,0.34135157984177866
face_shield,2020-05-06 00:00:00+00:00,calibration,ACM-4 (independent),3,3.8453543116795386e-05,1957,0.08250315249468933,1.263187347246511,0.34137801137244367
face_shield,2020-05-15 00:00:00+00:00,calibration,ACM-4 (independent),3,2.0018618243411446e-05,1971,0.08217062090686207,1.26336679775555,0.34142650810418274
face_shield,2020-05-15 00:00:00+00:00,calibration,ACM-4 (independent),3,3.1986205708434134e-05,1971,0.08217062090686207,1.26336679775555,0.34142650810418274
face_shield,2020-05-19 00:00:00+00:00,calibration,ACM-4 (independent),3,4.5846931967685745e-05,1976,0.08211201685678819,1.2630237219975782,0.3413337914376789
face_shield,2020-05-19 00:00:00+00:00,calibration,ACM-4 (independent),3,3.553064032407738e-05,1976,0.08211201685678819,1.2630237219975782,0.3413337914376789
face_shield,2020-05-20 00:00:00+00:00,calibration,ACM-4 (independent),3,7.63311676726941e-06,1976,0.08211201685678819,1.2630237219975782,0.3413337914376789
face_shield,2020-05-22 00:00:00+00:00,calibration,ACM-4 (independent),3,3.5248168126000845e-05,1978,0.0820925898734441,1.262900526767377,0.3413004977676715
face_shield,2020-05-22 00:00:00+00:00,calibration,ACM-4 (independent),3,3.5334868026537514e-05,1978,0.0820925898734441,1.262900526767377,0.3413004977676715
face_shield,2020-05-25 00:00:00+00:00,calibration,ACM-4 (independent),3,2.871715165742028e-05,1981,0.08202954706451776,1.26288460180494,0.34129619402601374
face_shield,2020-05-30 00:00:00+00:00,calibration,ACM-4 (independent),3,5.219926039268241e-05,1998,0.08169112629649265,1.2629401824211632,0.34131121475930287
face_shield,2020-06-04 00:00:00+00:00,calibration,ACM-4 (independent),3,4.533975198339757e-05,2000,0.08167529218235675,1.2628240854938517,0.3412798394148154
face_shield,2020-06-08 00:00:00+00:00,calibration,ACM-4 (independent),3,4.2666225300469485e-05,2015,0.08140241408110305,1.2615952354558724,0.340947741105602
face_shield,2020-06-08 00:00:00+00:00,calibration,ACM-4 (independent),3,3.355115069031411e-05,2015,0.08140241408110305,1.2615952354558724,0.340947741105602
face_shield,2020-06-08 00:00:00+00:00,calibration,ACM-4 (independent),3,4.224582255363263e-05,2015,0.08140241408110305,1.2615952354558724,0.340947741105602
face_shield,2020-06-08 00:00:00+00:00,calibration,ACM-4 (independent),3,4.14709951835901e-05,2015,0.08140241408110305,1.2615952354558724,0.340947741105602
face_shield,2020-06-08 00:00:00+00:00,calibration,ACM-4 (independent),3,3.3534671629364965e-05,2015,0.08140241408110305,1.2615952354558724,0.340947741105602
face_shield,2020-06-08 00:00:00+00:00,calibration,ACM-4 (independent),3,3.369579368084352e-05,2015,0.08140241408110305,1.2615952354558724,0.340947741105602
face_shield,2020-06-08 00:00:00+00:00,calibration,ACM-4 (independent),3,4.209500996649185e-05,2015,0.08140241408110305,1.2615952354558724,0.340947741105602
face_shield,2020-06-09 00:00:00+00:00,calibration,ACM-4 (independent),3,4.936886382578276e-05,2021,0.08122423633358421,1.2629322455381142,0.3413090698064123
face_shield,2020-06-09 00:00:00+00:00,calibration,ACM-4 (independent),1,1.979020767350903e-05,2021,0.08122423633358421,1.2629322455381142,0.3413090698064123
face_shield,2020-06-09 00:00:00+00:00,calibration,ACM-4 (independent),1,1.9628285013784108e-05,2021,0.08122423633358421,1.2629322455381142,0.3413090698064123
face_shield,2020-06-09 00:00:00+00:00,calibration,ACM-4 (independent),3,3.339509299438159e-05,2021,0.08122423633358421,1.2629322455381142,0.3413090698064123
face_shield,2020-06-12 00:00:00+00:00,calibration,ACM-4 (independent),3,4.611631552309259e-05,2041,0.08085783500696249,1.2627655659468837,0.34126402443169834
face_shield,2020-06-12 00:00:00+00:00,calibration,ACM-4 (independent),3,3.240345054772442e-05,2041,0.08085783500696249,1.2627655659468837,0.34126402443169834
face_shield,2020-06-13 00:00:00+00:00,calibration,ACM-4 (independent),3,4.9360787412466856e-05,2041,0.08085783500696249,1.2627655659468837,0.34126402443169834
face_shield,2020-06-13 00:00:00+00:00,calibration,ACM-4 (independent),3,3.2873917537312725e-05,2041,0.08085783500696249,1.2627655659468837,0.34126402443169834
face_shield,2020-06-13 00:00:00+00:00,calibration,ACM-4 (independent),3,3.2866402264020156e-05,2041,0.08085783500696249,1.2627655659468837,0.34126402443169834
face_shield,2020-06-13 00:00:00+00:00,calibration,ACM-4 (independent),1,4.2729551941178556e-05,2041,0.08085783500696249,1.2627655659468837,0.34126402443169834
face_shield,2020-06-15 00:00:00+00:00,calibration,ACM-4 (independent),3,4.694992736187231e-05,2044,0.08079763808692884,1.2627523839842762,0.3412604619892857
face_shield,2020-06-15 00:00:00+00:00,calibration,ACM-4 (independent),3,3.2357548844452744e-05,2044,0.08079763808692884,1.2627523839842762,0.3412604619892857
face_shield,2020-06-17 00:00:00+00:00,calibration,ACM-4 (independent),3,3.906581984836066e-05,2058,0.08053623776453138,1.2625610697928462,0.3412087590820645
face_shield,2020-06-17 00:00:00+00:00,calibration,ACM-4 (independent),3,3.845061410312489e-05,2058,0.08053623776453138,1.2625610697928462,0.3412087590820645
face_shield,2020-06-17 00:00:00+00:00,calibration,ACM-4 (independent),3,2.9833247631227966e-05,2058,0.08053623776453138,1.2625610697928462,0.3412087590820645
face_shield,2020-06-17 00:00:00+00:00,calibration,ACM-4 (independent),3,2.0814528746582184e-05,2058,0.08053623776453138,1.2625610697928462,0.3412087590820645
face_shield,2020-06-17 00:00:00+00:00,calibration,ACM-4 (independent),3,2.8594628628364482e-05,2058,0.08053623776453138,1.2625610697928462,0.3412087590820645
face_shield,2020-06-19 00:00:00+00:00,calibration,ACM-4 (independent),3,5.274670176680374e-05,2065,0.08041127964403656,1.2624809585917047,0.3411871089265322
face_shield,2020-06-22 00:00:00+00:00,calibration,ACM-4 (independent),3,4.123262502003788e-05,2070,0.0803511832439056,1.262148672320671,0.34109730813280265
face_shield,2020-06-22 00:00:00+00:00,calibration,ACM-4 (independent),3,4.254275431631038e-05,2070,0.0803511832439056,1.262148672320671,0.34109730813280265
face_shield,2020-06-22 00:00:00+00:00,calibration,ACM-4 (independent),3,4.115925156095157e-05,2070,0.0803511832439056,1.262148672320671,0.34109730813280265
face_shield,2020-06-22 00:00:00+00:00,calibration,ACM-4 (independent),3,4.115281609096133e-05,2070,0.0803511832439056,1.262148672320671,0.34109730813280265
face_shield,2020-06-23 00:00:00+00:00,calibration,ACM-4 (independent),3,4.2871056544546704e-05,2072,0.08030119932711345,1.262196479786162,0.3411102281620712
face_shield,2020-06-23 00:00:00+00:00,calibration,ACM-4 (independent),3,3.2407338884654635e-05,2072,0.08030119932711345,1.262196479786162,0.3411102281620712
face_shield,2020-06-23 00:00:00+00:00,calibration,ACM-4 (independent),3,4.285534252734813e-05,2072,0.08030119932711345,1.262196479786162,0.3411102281620712
face_shield,2020-06-24 00:00:00+00:00,calibration,ACM-4 (independent),3,4.9102235813003325e-05,2073,0.08029523413476504,1.2621461794733078,0.3410966344375845
face_shield,2020-06-24 00:00:00+00:00,calibration,ACM-4 (independent),3,4.2881644636949545e-05,2073,0.08029523413476504,1.2621461794733078,0.3410966344375845
face_shield,2020-06-29 00:00:00+00:00,calibration,ACM-4 (independent),3,3.909178323796558e-05,2078,0.08021370690517966,1.2620092290928644,0.34105962342046625
face_shield,2020-06-29 00:00:00+00:00,calibration,ACM-4 (independent),3,3.0983755615277e-05,2078,0.08021370690517966,1.2620092290928644,0.34105962342046625
face_shield,2020-06-29 00:00:00+00:00,calibration,ACM-4 (independent),2,1.051586308009611e-05,2078,0.08021370690517966,1.2620092290928644,0.34105962342046625
face_shield,2020-07-02 00:00:00+00:00,validation,ACM-4 (independent),3,5.159719451003353e-05,2081,0.08012707389324648,1.2621718726737636,0.34110357805817765
face_shield,2020-07-02 00:00:00+00:00,validation,ACM-4 (independent),1,3.088663336159314e-05,2081,0.08012707389324648,1.2621718726737636,0.34110357805817765
face_shield,2020-07-07 00:00:00+00:00,validation,ACM-4 (independent),3,4.451429844271049e-05,2003,0.08148603374090096,1.26354063235276,0.34147348712849973
face_shield,2020-07-07 00:00:00+00:00,validation,ACM-4 (independent),3,4.0411221630953786e-05,2003,0.08148603374090096,1.26354063235276,0.34147348712849973
face_shield,2020-07-09 00:00:00+00:00,validation,ACM-4 (independent),3,4.882147264928527e-05,1871,0.08416757318257567,1.2643340703995778,0.3416879147849834
face_shield,2020-07-10 00:00:00+00:00,validation,ACM-4 (independent),3,5.670447290051506e-05,1800,0.08577139475106248,1.2645307488544133,0.34174106739131527
face_shield,2020-07-23 16:32:46.736000+00:00,validation,ACM-4 (independent),3,9.721569773585292e-05,896,0.12132736119972963,1.2617272891510847,0.3409834287872149
face_shield,2020-07-23 16:34:27.720000+00:00,validation,ACM-4 (independent),3,1.317450525339936e-06,896,0.12132736119972963,1.2617272891510847,0.3409834287872149
face_shield,2020-07-29 01:25:01.976000+00:00,validation,ACM-4 (independent),4,3.3111054050793953e-06,571,0.15370061424461087,1.2569644366462907,0.33969626174893586
face_shield,2020-07-29 01:25:05.686000+00:00,validation,ACM-4 (independent),2,5.260303349141626e-05,571,0.15370061424461087,1.2569644366462907,0.33969626174893586
face_shield,2020-07-29 01:25:08.069000+00:00,validation,ACM-4 (independent),3,1.8640195973529394e-05,571,0.15370061424461087,1.2569644366462907,0.33969626174893586
face_shield,2020-08-13 18:01:05.597000+00:00,validation,ACM-4 (independent),4,1.4729869978961918e-05,459,0.17007955255975113,1.26346546692799,0.3414531735754169
face_shield,2020-09-03 18:10:25.123000+00:00,validation,ACM-4 (independent),4,1.4573992291444689e-05,347,0.19477833688293933,1.2630339768457852,0.3413365628236459
face_shield,2020-09-07 20:16:51.816000+00:00,validation,ACM-4 (independent),5,7.196077552118485e-06,311,0.2050752867941497,1.263650582383172,0.34150320126616446
face_shield,2020-09-08 20:07:41.280000+00:00,validation,ACM-4 (independent),4,7.228709271701189e-05,277,0.21772829574367453,1.2640297730533396,0.3416056780343137
face_shield,2020-10-06 00:00:00+00:00,validation,ACM-4 (independent),5,8.845685598474207e-05,64,0.4162832686235852,1.2748048628028317,0.34451765994979067
face_shield,2020-11-19 04:38:41.026000+00:00,validation,ACM-4 (independent),6,6.0382409884374155e-05,37,0.5561099343193431,1.2747130899642634,0.3444928582216885
face_shield,2020-11-25 01:23:40.217000+00:00,validation,ACM-4 (independent),7,6.527479661322388e-05,37,0.5799365835618571,1.26057667366474,0.34067247346658175
face_shield,2020-11-25 01:25:34.362000+00:00,validation,ACM-4 (independent),1,1.7458140936343902e-05,37,0.5799365835618571,1.26057667366474,0.34067247346658175
face_shield,2020-11-25 01:28:52.014000+00:00,validation,ACM-4 (independent),1,4.600160248058316e-06,37,0.5799365835618571,1.26057667366474,0.34067247346658175
face_shield,2020-11-25 02:01:45.250000+00:00,validation,ACM-4 (independent),1,1.2187484650372227e-06,37,0.5799365835618571,1.26057667366474,0.34067247346658175
face_shield,2020-11-25 02:09:15.051000+00:00,validation,ACM-4 (independent),6,5.359557125239611e-05,37,0.5799365835618571,1.26057667366474,0.34067247346658175
face_shield,2020-11-25 02:10:49.716000+00:00,validation,ACM-4 (independent),5,5.342650090733869e-05,37,0.5799365835618571,1.26057667366474,0.34067247346658175
face_shield,2020-11-25 02:11:10.940000+00:00,validation,ACM-4 (independent),5,5.140151415244931e-05,37,0.5799365835618571,1.26057667366474,0.34067247346658175
face_shield,2020-11-25 02:11:34.026000+00:00,validation,ACM-4 (independent),5,4.939135092305036e-05,37,0.5799365835618571,1.26057667366474,0.34067247346658175
face_shield,2020-11-25 02:11:56.741000+00:00,validation,ACM-4 (independent),6,6.115732325243095e-05,37,0.5799365835618571,1.26057667366474,0.34067247346658175
face_shield,2020-11-25 02:13:20.123000+00:00,validation,ACM-4 (independent),5,4.198919378435584e-05,37,0.5799365835618571,1.26057667366474,0.34067247346658175
face_shield,2020-11-25 02:13:48.443000+00:00,validation,ACM-4 (independent),4,2.9408400674280077e-05,37,0.5799365835618571,1.26057667366474,0.34067247346658175
face_shield,2020-11-25 02:14:26.031000+00:00,validation,ACM-4 (independent),4,5.937091190721944e-05,37,0.5799365835618571,1.26057667366474,0.34067247346658175
face_shield,2020-11-25 02:15:39.009000+00:00,validation,ACM-4 (independent),4,8.877601040313543e-05,37,0.5799365835618571,1.26057667366474,0.34067247346658175
face_shield,2020-11-25 02:16:01.392000+00:00,validation,ACM-4 (independent),4,2.9485796675776665e-05,37,0.5799365835618571,1.26057667366474,0.34067247346658175
face_shield,2020-11-25 02:16:16.276000+00:00,validation,ACM-4 (independent),4,2.9557028991100687e-05,37,0.5799365835618571,1.26057667366474,0.34067247346658175
face_shield,2020-12-21 17:11:47.071000+00:00,validation,ACM-4 (independent),6,5.5009767971903045e-05,48,0.5224068118161469,1.2559454356265896,0.3394208754078279
face_shield,2020-12-21 22:31:50.757000+00:00,validation,ACM-4 (independent),6,3.1407152443041486e-05,48,0.5224068118161469,1.2559454356265896,0.3394208754078279
face_shield,2021-02-24 07:33:27.950000+00:00,test,ACM-4 (independent),5,4.8314361166867936e-05,106,0.3430854414787383,1.2655666930254086,0.3420210326409341
face_shield,2021-03-06 00:39:47.761000+00:00,test,ACM-4 (independent),5,1.978973098487602e-05,100,0.3507567059004296,1.2648220371946481,0.34181978844131794
