trial,mu_true,mu_partial,sigma_exact,sigma_partial,beta_partial,diagonal_memory,partial_to_exact,exact_to_partial,partial_self,physical_mix,partial_coefficient,temperature,weight_demand,weight_backlog,weight_inventory,weight_route,weight_capacity,calibration_objective,calibration_raw_score,regularization_penalty,calibration_shortlist,selected,validation_objective,validation_overlap,validation_priority_overlap,validation_ndcg_all
10,0.8696096571859734,0.6621427214686317,0.24180487379132803,0.2773866590094191,0.8898599412945237,0.3938423396236131,0.1543573393570787,0.11142106656759507,0.9132395221287117,0.44247965906458864,1.0,0.2220637973757521,0.6373743456090503,1.8759426555245882,0.9809652510907996,0.5018085068491158,0.5529269739275201,0.003436841741239544,0.0042272669773815675,0.0007904252361420236,False,False,,,,
11,0.7836054922319071,0.644845272427341,0.2531592147220528,0.23603231908456873,0.7657231831000925,0.4786999195045598,0.2658271387613297,0.16131499140018574,0.8776962739877134,0.5437424432003729,0.75,0.388262772691813,0.9842061483222418,1.6579140323417336,0.5475186801979863,0.8479633487245256,0.813174313854779,0.0036406509682168587,0.0043022740287685535,0.0006616230605516948,False,False,,,,
12,0.8129243687947932,0.6083420049320044,0.18704350881063914,0.2575600836734479,0.7047299600264192,0.42784358388777594,0.21053067674407897,0.06055160367424773,0.9356043029573026,0.43106252545460033,0.75,0.31270361875365554,1.3133182704070427,1.1453533671499485,1.9193121074096566,0.7288436313107813,0.7546482309624851,0.004100258558117134,0.004785127219419413,0.0006848686613022795,False,False,,,,
13,0.8147745504785904,0.6181700226629093,0.20243085984917522,0.22027713378715247,0.8282129059269303,0.42682117528076924,0.21783897153937834,0.1263214348981912,0.8733490491431388,0.4016865048800295,0.75,0.3303097134080471,1.2860958039180803,0.751865341591071,1.6251998565367505,1.0903956449804126,0.7516683962889487,0.004895306510892851,0.005066202499970503,0.00017089598907765234,True,False,0.02420994076529777,0.01872399445214979,0.01842821385381369,0.18464450380816988
14,0.8092540341795058,0.6177292226699049,0.18779987897204536,0.2237820922621753,0.8338650552358905,0.4204381379935245,0.1988146484108278,0.12901744240159072,0.8726703578323585,0.4320455069300408,0.75,0.33194613599509626,1.2044075518549393,0.7060725774647371,1.9604140959117595,1.1388009312791627,0.8664461006864171,0.0048033752584993135,0.005076679887563921,0.000273304629064608,True,False,0.023905001912271583,0.01872399445214979,0.018812873172707165,0.1808818846515597
15,0.7948831006683028,0.602882124343623,0.18253086614888586,0.22105417520392107,0.8539411248676441,0.43012206086183413,0.1891831006401027,0.13583612427622083,0.8614597192412603,0.42729568418312297,0.5,0.34696186557662856,1.2507776568037836,0.6479458848489458,1.856426484181418,1.1931102122740533,0.761719821469456,0.00468877043247559,0.005153928115057872,0.00046515768258228204,False,False,,,,
16,0.8020492699299487,0.6281135308297727,0.20119521765772574,0.22149219340881224,0.8317521158729303,0.4044285378657534,0.1971013366962788,0.1329426390488627,0.9069689721524491,0.4269371703367315,0.75,0.337306160947215,0.7590566976162921,0.7329282682541477,1.6798192669431797,1.1943726072544203,0.881880515728346,0.00458015849508458,0.0048723363099731866,0.00029217781488860654,False,False,,,,
17,0.835614852575898,0.5988006993761925,0.1999643357837416,0.22493180672296847,0.861549677701683,0.43832459677661584,0.12701897969193807,0.14868427525913724,0.8647900863593899,0.400594011631276,0.75,0.33924008082217344,1.2178484037077868,0.5570874260726077,1.2287163996529742,1.3542996371693654,0.6735711016869865,0.004669447820080788,0.005237939102252825,0.0005684912821720367,False,False,,,,
18,0.8297110448071298,0.6158340589466642,0.19807258567934155,0.21441202078636482,0.7946448784662524,0.34237252929670464,0.16562610978670855,0.12073466861142065,0.8694112424136632,0.4823926035515732,0.75,0.31421214920102275,1.4149585739384063,0.672864264374792,1.6416644244253726,1.0238158174922896,0.5034032058052638,0.004507169845019307,0.00515675461820384,0.000649584773184533,False,False,,,,
19,0.7982039713645473,0.5903754023034683,0.19148632409075403,0.26595386888795713,0.8540541687464798,0.4140504547628416,0.17648929834277882,0.14737762070809893,0.9359398193659787,0.4195578997407188,0.5,0.36084855061965987,1.8186515971537531,0.8503876383304344,1.8873988118370562,0.6446760889583946,0.9536064148612333,0.004572355976273924,0.005177118278555002,0.0006047623022810778,False,False,,,,
